geoid,LATITUDE,LONGITUDE,Y,X
060014213004,37.887343999999764,-122.28040100000001,4193559.748214502,563275.8094737119
060014214001,37.88928699999975,-122.268966,4193783.145790396,564279.6365282438
060014214002,37.887247999999765,-122.273121,4193554.059455544,563916.0462125925
060014215001,37.89399599999975,-122.256443,4194314.3231983045,565376.6314294651
060014215002,37.892224999999755,-122.262715,4194113.449249773,564826.716541087
060014215003,37.88803299999976,-122.262142,4193648.735636269,564880.7777788076
060014216001,37.88575499999977,-122.250375,4193404.2351363273,565917.5102197428
060014216002,37.88369399999976,-122.25528899999999,4193172.1020102985,565487.221836938
060014216003,37.883260999999756,-122.264424,4193117.6871961933,564684.2903343274
060014216004,37.88049099999975,-122.262349,4192811.7903967593,564869.1917006033
060014217001,37.883480999999755,-122.270663,4193137.789587179,564135.4536680806
060014217002,37.88098099999977,-122.27022899999999,4192860.707790972,564175.7881897443
060014217003,37.87920999999976,-122.26979699999998,4192664.5089269476,564215.316329941
060014218001,37.880707999999764,-122.275581,4192826.7502755146,563705.3642245267
060014218002,37.87924399999974,-122.28015,4192661.2069021417,563304.8144850325
060014219001,37.880542999999776,-122.28700099999999,4192800.7076126332,562701.2169999947
060014219002,37.87758399999975,-122.28697099999998,4192472.4210190666,562706.363962643
060014219003,37.87910199999975,-122.291559,4192637.772770728,562301.594723368
060014219004,37.881217999999755,-122.293356,4192871.3487062007,562141.7832861562
060014220001,37.85823799999977,-122.29313100000002,4190321.828121377,562180.8805655155
060014220002,37.87656499999976,-122.302498,4192349.040625508,561341.6912262896
060014221001,37.876531999999756,-122.29782399999999,4192348.4620019924,561752.7779891362
060014221002,37.87144099999975,-122.29602099999998,4191784.801185238,561915.6055894289
060014222001,37.874605999999766,-122.288063,4192141.2731014164,562612.8490780174
060014222002,37.87129399999976,-122.285643,4191775.427132043,562828.496834584
060014222003,37.87149299999975,-122.29046199999999,4191794.2732620975,562404.487123897
060014223001,37.87638299999977,-122.27747699999999,4192345.5901745525,563542.3435438001
060014223002,37.87425599999975,-122.27731400000002,4192109.7064547474,563558.5063852223
060014223003,37.87174799999975,-122.277758,4191831.1368564027,563521.610669605
060014224001,37.87547399999974,-122.267273,4192251.732211173,564440.5391425708
060014224002,37.87342199999976,-122.270765,4192021.6531640287,564135.2060611502
060014224003,37.87606999999976,-122.2715,4192314.949029903,564068.269418323
060014225001,37.87847299999977,-122.261301,4192588.618189902,564963.1268598894
060014225002,37.876571999999776,-122.25666999999999,4192380.932494061,565372.0749711843
060014225003,37.876252999999764,-122.26189,4192341.8947423487,564913.2762639694
060014226001,37.87209699999974,-122.251152,4191888.3020385546,565861.3459496243
060014227001,37.868037999999736,-122.247227,4191440.7250917237,566210.1879372201
060014227002,37.867268999999766,-122.25060899999998,4191353.009244176,565913.4047780593
060014227003,37.867697999999756,-122.25292299999998,4191398.9759735963,565709.4908209024
060014228001,37.866919999999766,-122.256172,4191310.372975285,565424.407494405
060014228002,37.86712099999977,-122.259867,4191330.0906738206,565099.2273667563
060014228003,37.86603699999976,-122.26322799999998,4191207.479964028,564804.5521651382
060014229001,37.86579999999975,-122.26755999999999,4191178.1854888354,564423.7218535239
060014229002,37.868340999999745,-122.26920799999999,4191458.9778355528,564276.5582290058
060014230001,37.86961399999976,-122.27761499999998,4191594.4629975455,563536.0204328198
060014230002,37.86578299999978,-122.274794,4191171.3308928865,563787.4421594944
060014230003,37.865301999999765,-122.27910799999998,4191115.0236733304,563408.399874764
060014231001,37.86862299999975,-122.285818,4191478.9571695426,562815.3729366246
060014231002,37.866089999999765,-122.286275,4191197.6090007117,562777.3263847798
060014231003,37.86432599999976,-122.28621999999999,4191001.9272408755,562783.6607751774
060014231004,37.862579999999774,-122.285412,4190808.749456821,562856.2159105624
060014232001,37.86637799999979,-122.293983,4191224.406777245,562099.1011947882
060014232002,37.862508999999754,-122.293404,4190795.520350678,562153.2784870785
060014233001,37.860458999999764,-122.284825,4190573.8165189414,562909.6529077343
060014233002,37.85681299999975,-122.282534,4190170.8335010433,563114.2900357732
060014233003,37.85457699999977,-122.284703,4189921.2817832865,562925.3850110206
060014234001,37.86199299999975,-122.276328,4190749.7766784714,563655.7734011201
060014234002,37.860166999999755,-122.27599999999998,4190547.402674235,563686.1967017369
060014234003,37.85755099999975,-122.27554599999999,4190257.4630655437,563728.3854854857
060014234004,37.855032999999764,-122.275942,4189977.816756287,563695.7166476413
060014235001,37.862000999999765,-122.268167,4190756.260961077,564373.6355418051
060014235002,37.85863899999975,-122.26793,4190383.4048315473,564397.4081537654
060014235003,37.856274999999734,-122.26764699999998,4190121.310406564,564424.3605110709
060014236011,37.85995399999973,-122.25783200000001,4190536.320328069,565284.5430882935
060014236012,37.85748099999976,-122.259416,4190260.8301328286,565147.3818750434
060014236021,37.86383899999975,-122.261974,4190964.479272476,564916.780519156
060014236022,37.864451999999766,-122.255837,4191036.778636808,565456.0564493792
060014236023,37.862326999999745,-122.258996,4190798.7954558865,565180.0608228124
060014237001,37.86359499999974,-122.24893899999998,4190946.5526168006,566063.5734067461
060014237002,37.859512999999765,-122.249862,4190492.9943837547,565986.024405612
060014237003,37.86388399999977,-122.25261600000002,4190976.0216402095,565739.8819512468
060014238001,37.85519499999977,-122.23867699999998,4190021.8696398297,566973.8362765366
